"","x","","x","","x","","x","","x","","x","","x","","x","","x",""
"1",3.85941333950866,4.79138611093742,4.29604085733058,5.27340219227522,4.08311502629518,5.05167905871307,4.79868468385022,4.96194063088357,4.21965702338869,4.94394010200892,4.24065384261648,5.38277477982688,4.10705718626137,4.57560128487093,4.32150881645761,5.29154826012623,4.30709286238928,5.41154161441472
"2",4.34797440153892,5.36778636407701,4.47267889565977,5.20933882526723,4.50449676228369,4.25504547524342,4.62092998334697,5.47924277869945,4.63653729247328,5.56611380294571,4.61429039522489,5.44961373294319,4.09663138074836,4.87987128532238,4.03679512840904,4.38174994414068,4.40706760322966,5.22619735337751
"3",4.45173060481958,5.44154640558665,3.91099592799317,4.33046481021164,4.56182148624106,5.2531617403381,4.39393124391919,5.12743133906759,4.3360370239994,5.45966026839299,4.96181809705848,5.46521349116381,4.35963974750789,5.14760310683019,5.01270931139087,5.07424746369161,4.31653498213304,4.91152234164493
"4",4.38219229150366,4.7305797624438,4.07218059454771,4.89267291382599,4.29791305740519,4.41979052562652,4.5250180013704,5.30566711491444,4.89622690017208,4.87560734698334,4.37625308561223,5.25901964902513,4.51567776053997,5.58576770738384,4.39815464801382,4.62713920386329,4.64129875014651,5.54072592738424
"5",4.19827453190664,5.28932680808638,4.48233403242016,5.36429428957827,4.18828282054413,4.77232557098568,4.31975367522682,4.45324364828382,4.30602773575683,4.90840475038761,4.4366569415059,5.26587996277261,4.77762000603241,5.17265724219853,4.66117237760252,5.35409708396045,4.4079339526231,4.82496607611997
"6",4.40746384531632,5.16095320480839,4.52692773504486,5.13308353132239,4.34637689865282,4.60501240891204,4.36866426357432,4.91018865707902,4.55808787331946,5.24227809274765,4.27230545080111,5.17992091054836,4.17707240008859,4.82216306176369,4.28533632142046,5.12001945794152,4.5764549979046,5.67403315515169
"7",4.76184609432083,5.60084137267326,3.93802849727152,4.48074184269969,4.45273112799445,5.14303829948209,4.29800963444155,5.57962174535464,3.9782604491093,4.25689197919059,4.29519683869113,5.25464880392103,4.6503039602888,5.66148951202856,4.80540277155422,5.13825305204614,4.22844553028551,4.37583859030543
"8",4.59963232437057,5.28595395090394,4.00828438676399,4.77963823429841,4.58246117641786,4.9281284178844,4.1962965813515,4.69485029067813,4.31050264088104,4.88942218081148,4.20920782114169,5.33526233387785,4.78019315825637,5.38391055874618,4.14014033579437,5.18034417742365,4.19719660829584,5.04350330023574
"9",4.11936144177861,4.83804782098934,4.22973364060917,4.84795942886464,5.09377793006827,5.64548917772583,4.45465838195716,4.72329418752529,3.98926462454493,4.92966373390032,5.12728531831812,5.43353456222071,4.07147406447005,4.8053212741389,4.3753594731004,5.31103612091996,4.78834818436185,5.18370629955045
"10",4.21442600531611,4.46124137722638,4.46024994455561,5.10890253009916,4.47833696259771,5.26983097457555,4.34246434717652,5.32243205479964,4.5850110786759,5.44147710613754,4.79223042585821,5.67284942957238,4.84558885220504,5.16535177412938,4.59976697814827,5.79430462547104,4.38043760200749,4.90070021680248
"11",4.63073472148309,5.20389284669759,4.27806784218746,5.05793996001535,4.78727490248722,5.93907151142846,4.51289315605726,5.43985002694319,4.59321502959372,4.61639017055935,4.21826037536812,4.88059807327556,4.56768314177706,5.49662818463418,4.71066582436492,5.53219717455023,4.5926482459114,5.64426651650163
"12",3.92563441990847,4.66566091266094,4.86444929172167,4.961369258819,4.31802685006837,4.78767576098698,4.31322904291965,5.37728238966758,4.32589395388267,4.39497599672328,4.50079199831015,5.6178147610246,4.42856529030686,5.08100918609334,4.39156287989961,5.23038923041644,4.13943982721881,4.40829208865651
"13",4.3979427346239,5.2969263922793,4.33385902874238,4.79234517806444,4.61974944059027,4.65460746889559,4.060537284899,5.04028185030451,4.531970598869,5.20670203674005,4.6949505955573,5.72612120364246,4.55921782192988,5.10120198268384,4.59175465608851,5.08090320308463,4.54155234395533,4.86926371943943
"14",4.29916746607866,4.20334828147145,4.55846721049498,4.76900946362864,4.03887708815888,3.96020757814152,4.41290098165953,4.7504825436556,4.33277539118389,5.44734934675091,4.25094821932469,5.38790883282617,4.3565399358458,4.49521110202343,4.6280803702665,5.10660965307863,4.09741817154184,5.08591835431545
"15",4.4600071673675,5.49408370608125,4.40116059280178,4.58483635345954,4.71326285975946,4.45984535908613,4.25425263150387,5.27279095367162,4.36549842312017,4.7640232472643,4.59376214436704,5.82691379766257,4.32693808166542,5.10762473034756,4.2130494087985,4.92461080149269,4.70055953783929,5.28697886759275
"16",4.27998877042181,5.1292616786816,4.64704673388744,5.80747010268614,4.41465919590329,5.59901350180474,4.66724387506698,5.58189920786726,4.30375544869969,5.12491526198866,4.24001288200642,5.12350640568468,3.9005165065158,4.79842144586907,5.00511854470827,5.21405403580417,4.32536419762909,4.59325330463747
"17",4.34292792665928,5.41200019473429,4.38653687333612,4.67711256705072,4.51145932740198,5.61509991770718,4.44776779969895,5.00738993140868,4.46109568294217,5.59325598742611,4.35795985599706,5.37083480658764,4.2380691323147,5.37784867642472,4.557385442087,4.95129610830832,4.60164612029526,4.86340878802947
"18",4.51408344863395,5.16719586756773,4.13625157652195,4.79748218148924,4.40398958418196,5.46057246919302,4.74079701594375,5.78815085597593,4.29199076617425,5.31354397095973,4.16239966500256,5.03043069299971,4.60924488767608,4.93600059092426,4.23325075049528,4.45885158336876,4.61025122573482,5.74063004940173
"19",4.70707821095399,5.80221213924833,4.25821665327793,4.4710060465711,4.49997447063215,5.02641819751012,4.5265600152526,4.81190176244122,4.34689051561221,5.43647447863059,4.89908833345437,5.36179826550423,4.406861587873,5.4376359196219,4.70070580170647,5.12345408910579,4.89969377306679,5.93203454214531
"20",4.17682223080702,4.15875260144191,4.83349388081259,5.38088682853868,4.1216643416371,4.56216063949581,4.96054888399699,4.87239011114932,4.44088915523119,5.08851377240759,4.81327964749343,5.18383049136136,4.59117595429437,5.33415726387039,4.59143720484935,4.84513182784202,4.61184709169703,5.01203281413938
"21",3.9594818688139,4.86065562209798,4.37670924425023,4.81166437292079,4.10542543888832,4.66309791023523,4.57580421308634,4.91688516396785,4.01554089982517,4.82978142222716,4.30318380772315,4.31558198128481,4.36083981737141,5.21857249836362,4.88612408777549,5.70670903215018,4.79512376908816,5.31743824214924
"22",3.97858945436131,4.92955376572168,4.55032902312251,4.98179791856639,4.07288994481452,4.88486599358547,4.65417463928818,5.40641729698921,4.41955421857635,4.9470491821579,3.99412014193234,4.99433137074866,4.54672474019404,5.0716242461162,4.81523054016554,5.56713642065814,4.14894258276619,5.15998449521906
"23",4.08847713554777,4.83613053955538,4.42871467723479,5.45744331873624,4.40508309824583,4.23620416133526,4.24188216402484,5.02131200312108,3.87749022801142,4.2112269755992,4.59093367689981,5.01001616818734,4.66886765073474,5.52286487946817,4.46968165435529,4.56326066101534,4.43248697889861,4.6065821050332
"24",4.67774826272935,5.55385725089492,4.5389359219048,4.76181682307864,4.31455564263737,4.71196177371524,4.37933518808112,4.56072272290774,4.21974662157778,4.59694416148905,4.45145602966746,5.58929876257499,4.66727007206092,5.63594965209698,4.62494589878879,4.77279989182461,4.50365679115946,5.10703422098521
"25",4.34733368506753,4.5707716495691,4.72458549030013,5.871781882961,4.66180098407158,5.25596056819744,4.55539030782237,5.64877746328598,4.52133957052081,5.33596669767726,4.28925904498651,4.41963446919678,4.69239390866362,4.60104874656352,4.21042343463234,4.47943069553339,4.42914488754768,4.77397750603901
"26",4.57122075211235,5.46060963039784,4.09096126592069,4.76066836673251,4.46997331316241,5.4815614485306,4.11657764086552,5.11372245970132,4.09695411999101,4.37478304956421,4.33893564718218,4.99908879796518,4.58041909222022,4.96586718689162,4.22909188163464,4.45450047711205,4.09497709765322,4.58599746342725
"27",4.2128920560884,5.05777281094296,4.39184833886375,5.48541750801607,4.46313753644231,5.31180505403076,4.11087881928973,4.91625248581461,4.50618788962547,5.465851587529,4.70491797913624,4.93603866231997,4.39710520083122,5.44045118084605,4.59992678488509,4.93212808253793,4.31306121828555,5.05309189216237
